NeST ID	Old System Name	New System Name	Genes
NEST:153	EGFR/PI3K signaling	Signal Transduction in Cell Growth and Proliferation	"CTNNB1, EGF, EGFR, CRKL, ERBB2, PIK3R2, ABL1, SOCS1, CBL, PIK3R1, MET"
NEST:155	H3 acetylation and H3K4 methylation crosstalk	Chromatin remodeling and transcriptional regulation	"EP300, CTNNB1, TP53, EZH2, HIST3H3"
NEST:165	Transcription coactivator activity	Regulation of Gene Expression and Cell Cycle Control	"TP53, HIST3H3, TAF1, MED1, E2F1"
NEST:168	Foxo signaling	Regulation of Cell Proliferation and Apoptosis	"AKT1, FOXO3, SMAD4, SMARCB1, EP300, CDKN1B, AR, RARA, VHL, CREBBP"
NEST:17	RNA processing	Regulation of Gene Expression and DNA Repair in Cancer Pathogenesis	"NHP2, CASP8, DDX3X, FUS, CHEK2, SRSF2, TERT, EP300, XPC, TP53, SF1, PA2G4, ZRSR2, CREBBP, PRPF40B, NPM1, U2AF1, CTCF, RBM10, DKC1, HRAS, UPF1, SF3B1, RPS15, MDM2, TNF, RPL5, EWSR1, CDC73, BCLAF1"
NEST:170	Phosphatase 2A catalytic subunit	Protein Phosphatase 2 (PP2A) Complex Regulation and Signaling	"PPP2R2A, PPP2R1A, PPP2CA, PPP2CB, PPP2R1B"
NEST:174	Wnt/beta-catenin	Wnt/β-Catenin Signaling Pathway Regulation	"AXIN2, GSK3B, AKT1, PPP1CA, HLA-A, CTNNB1, AXIN1, APC"
NEST:177	p53 regulation of cell cycle	Regulation of Cell Cycle and Apoptosis	"EP300, CREBBP, TP53, CDKN1A, RBL1"
NEST:182	Regulation of beta catenin transcription	Wnt/β-Catenin Signaling Pathway Regulation	"CTNNB1, EGFR, ERBB2, APC, HDAC2, CTNNA1, TCF7L2"
NEST:193	Resolution of D-loop structures	DNA Damage Response and Repair	"TP53, BARD1, BRCA1, BUB1B, RAD51, FANCD2, RAD51C, BLM, BRCA2"
NEST:195	NeST:195	Receptor Tyrosine Kinase Signaling Pathway	"EGFR, ERBB2, FRS2, KRAS, STAT3, FGFR1"
NEST:199	Oncogene induced senescence	Cell Cycle Regulation and Tumor Suppression	"TP53, MDM2, RB1, TFDP1, E2F1, E2F2, E2F4"
NEST:202	MHC class I including non-classical MHCs	Antigen Presentation and Immune Response Modulation	"TAP2, HLA-A, B2M, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G"
NEST:210	Regulation of androgen receptor signaling pathway	Chromatin remodeling and transcriptional co-regulation	"CREBBP, ANKRD11, NCOR1, NCOA3, NCOR2"
NEST:212	RAS-RAF-MAPK	MAPK/ERK Signaling Pathway Regulation	"MAPK1, HRAS, MAP2K1, KRAS, ARAF, RAF1, BRAF"
NEST:22	Structural constituent of muscle	System of unrelated proteins	"MYOD1, GALNT12, C8orf34, FBXO11, CBL, TPM1"
NEST:23	Actin filament-based process	Regulation of Cellular Structure and Signal Transduction	"PIK3CA, CBL, PPP1CB, TNF, RAC1, ACTA2, PALLD, TPM1, CASR, MYH11, NFE2L2"
NEST:239	Beta-catenin destruction complex	Wnt Signaling and Cell Proliferation Regulation	"CTNNB1, GSK3B, HLA-A, AXIN1, APC"
NEST:24	Epithelial differentiation	Epithelial Integrity and Differentiation	"EPCAM, CDH1, CDH2, ALOX12B, ZNF750, FLG, KLF4, PRSS8"
NEST:256	MAPK signaling	MAPK/ERK Signaling Pathway Regulation	"HRAS, ERBB2, ERBB4, KRAS, FGFR2, FGFR4"
NEST:26	RNA processing	RNA Splicing and Apoptosis Regulation	"SF1, EWSR1, RBM10, UPF1, CASP8, SF3B1, CDC73, BCLAF1, ZRSR2, CREBBP, FUS, TNF, SRSF2, PRPF40B, U2AF1"
NEST:27	Contractile fiber	Diverse Cellular Functions with a Focus on Signal Transduction and Muscle Differentiation	"CBL, TPM1, GALNT12, C8orf34, MYOD1"
NEST:293	RBL-TP53 complex	Cell Cycle Regulation and Apoptosis	"TP53, E2F1, RBL1, E2F4, RBL2"
NEST:30	Mismatch and excision repair	DNA Damage Response and Repair	"RAD51C, BRCA1, CHEK1, PMS2, CKS1B, BRCA2, MKI67, CDKN1A, TERT, POLE, TP53, RB1, BUB1B, BRIP1, MSH2, BARD1, FANCD2, XRCC2, MLH1, BLM, PMS1, AURKB, POLD1, CDKN1B, AURKA, MSH3, MLH3, WRN, CCNE1, TOP2A, RAD51, MSH6"
NEST:32	Ubiquitin/Proteasome System	Ubiquitin-mediated proteolysis and cell cycle regulation	"SKP1, VHL, MDM2, TNF, RIT1, ELOC, AURKB, STK11, CCND1, ETV5, PARK2, ETV4, TP53, FBXO11, PRAME, NF2, HSP90AA1, CUL3, DDB2, TET2, FBXW7"
NEST:36	Interferon signaling	Antiviral Response and Immune Regulation	"IRF2, TAP2, IFIT2, TNF, IFIT1, TAP1, IFIT3, PML"
NEST:38	Transmembrane tyrosine kinase signaling	Signal Transduction and Cell Cycle Regulation	"STAT5B, PTK2, AKT1, CBL, KRAS, JAK2, IFNAR1, ABL1, TSC2, ARAF, PIK3R1, MAPK1, TP53, ERBB4, PTPN11, MAP2K1, BRAF, STAT3, NRAS, CBLB, ERBB2, SRC, STAT5A, FYN, HRAS, RET, HLA-A, INPPL1, IFNGR1, TNF, IRS1, MAP2K2, SYK, RAF1, CDKN1B, EGFR, GSK3B, BCAR1, STAT6, FRS2, FGFR1, JAK1, CRKL, RASA1, PLCG2, IFNAR2, PDGFRA, CSF3R, BTK, EPHB2, EGF, ERBB3, BCR"
NEST:40	Actin filaments	Regulation of Actin Cytoskeleton and Cell Signaling	"PIK3CA, ACTA2, PALLD, CBL, PPP1CB, TPM1, TNF, MYH11"
NEST:43	Type I interferon signaling pathway	Antigen Processing and Interferon-Induced Antiviral Response	"TAP2, TNF, TAP1, IFIT1, IFIT2, IFIT3, PML"
NEST:47	Apoptosis Regulation	Apoptosis and Cell Survival Regulation	"IFNGR1, TP53, PTPN13, MS4A1, CASP8, BCL2, BCL2L1, BCL2L11, TBX3, BCL2L2, MCL1, FAS, PARP1"
NEST:48	Actin cytoskeleton	Regulation of Cellular Structure and Reactive Oxygen Species (ROS) Detoxification	"PPP1CB, NFE2L2, TPM1, PIK3CA, MYH11"
NEST:50	Checkpoint-regulated DNA repair	Cell Cycle Regulation and DNA Damage Response	"RAD51C, BRCA1, CHEK1, E2F4, CKS1B, BRCA2, CDKN2A, CTNNB1, CDKN1A, CDK5, TERT, EP300, CDKN1C, TP53, RBL1, RB1, CREBBP, BUB1B, MSH2, BARD1, E2F1, CCND2, FANCD2, BLM, RBL2, CDKN2B, HLA-A, MYC, HDAC1, CCND1, CDKN1B, CCND3, WRN, CDKN2C, CCNE2, CCNE1, TOP2A, CDK4, RAD51, CDK6, MSH6"
NEST:51	ECM-cytoskeleton assembly	Tissue Repair and Fibrosis	"TNF, FGF10, FANCC, PALLD, ACTA2, PDGFRB"
NEST:52	INSR-FOXO	PI3K/AKT Signaling and Cell Cycle Regulation	"PTEN, AKT2, AKT3, PIK3CB, PIK3CD, FOXO3, SMAD4, RARA, CCND1, PIK3R3, PIK3R2, ACVR1B, EGLN1, TGFBR1, TGFBR2, PIK3R1, SOD2, EBF1, IRS2, PIK3CA, IGF1R, INSR, ALK, BMPR1A, FOXO1"
NEST:53	Integrator-PP2A complex	Regulation of Cell Growth and Survival Signaling Pathways	"PPP6C, AKT1, PPP2CB, PPP2R1B, BRAF, PPP2R2A, MYC, PPP2CA, CCDC6, RAF1, PPP2R1A, ARAF"
NEST:55	Histone deacetylase binding	Chromatin remodeling and gene expression regulation	"CREBBP, TP53, PARP1, HDAC1, HDAC2, PALB2, EZH2, RUNX1, E2F1, ZBTB2, IRF2, MTA1, BCL11B, CHD4, DNMT1, ING1"
NEST:57	Histone acetyltransferase complex	Regulation of Gene Expression and Chromatin Remodeling	"TNF, MYC, DKC1, TERT, HDAC1, YEATS4, KDM5A, UPF1, KAT6A, MAX, MYCL, MYCN, HDAC2, PALB2"
NEST:59	Chromosome centrometric region	Cell Cycle Progression and Genomic Stability	"CHEK1, BUB1B, RAD51, AURKB, TOP2A, AURKA, MKI67"
NEST:60	Nuclear receptor signaling	Transcriptional Regulation and Chromatin Remodeling in Hormone Signaling	"BCL6, HDAC5, PGR, NCOR2, ANKRD11, HDAC3, RUNX1T1, NRIP1, RARA, GPS2, NCOR1, RXRA, CEBPA, CREBBP, NCOA3, TBL1XR1, ESR2"
NEST:61	Culin-RIng uniqutin ligase complex	Regulation of Cellular Response to Hypoxia and Genomic Stability	"VHL, NF2, MDM2, CUL3, STK11, ELOC, DDB2, TET2"
NEST:63	Actin and actin-associated proteins	Actin Cytoskeleton Regulation and Signal Transduction	"PPP1CB, CBL, TPM1, PIK3CA, MYH11"
NEST:65	Mitosis	Cell Cycle Regulation and DNA Damage Response	"BRCA1, PARP1, MDM4, E2F4, CKS1B, RBL2, CDKN2A, MDM2, E2F2, MYC, CDKN1A, CHEK2, HDAC1, E2F5, CCND1, TP63, EP300, CDKN1B, TFDP1, TP53, RBL1, RB1, CREBBP, ATR, BUB1B, CCNE1, E2F1, ATM, NPM1"
NEST:66	PcG protein complex	Transcriptional Repression and Chromatin Modification	"E2F6, BCORL1, MGA, TNF, CHD2, EED, BCOR, EZH2, TFDP1"
NEST:69	Protein nuclear transport	Nuclear Transport and Telomere Maintenance	"DAXX, XPO1, NUP93, RANBP2, TERT, NUP98"
NEST:70	Regulation of nuclear protein ubiquitiation	Cellular Stress Response and Apoptotic Signaling	"EGFR, MIB1, TNF, TP53, MDM4, CBL, CHEK2, MDM2, BARD1, BIRC3, BRCA1"
NEST:78	NeST:78	Chromatin Modification and Transcriptional Regulation	"GATA1, ATRX, CDK12, RSF1, NSD1, SPEN, SETD2, MGA, ASXL2, NF1"
NEST:79	Homologous recombination (HR) and Fanconi Anemia repair	DNA Damage Response and Repair	"MRE11, RAD51C, BRCA1, CHEK1, BRCA2, MDC1, PALB2, TP53, POLH, BRIP1, BUB1B, BARD1, ATM, FANCD2, RAD50, XRCC2, BLM, NBN, MDM2, FANCA, XRCC3, RAD51D, AURKA, WRN, CDC73, TOP2A, RAD51B, RAD51, MSH6"
NEST:81	TGF-beta/Smad signaling	TGF-β Signaling Pathway Regulation	"PTEN, SMAD4, SMAD3, SMAD2, TGFBR1, PIAS4, TGFBR2"
NEST:82	Extended PRC1 complex	Regulation of Gene Expression via Polycomb Repressive Complex 2 and Non-canonical E2F Activity	"TNF, MGA, EED, EZH2, TFDP1, BCOR, BCORL1, E2F6"
NEST:83	TNFR/Traf signaling	Apoptosis and Cell Survival Signaling	"TNF, TP53, CASP8, FAS, PARP1, TNFAIP3, CD40, BIRC3, TNFRSF9, TRAF3, TRAF2, MAP3K7"
NEST:85	Positive regulators of transcription	Transcriptional Regulation and Cellular Growth Control	"EP300, AR, CREBBP, TNF, TP53, MYC, TERT, HDAC1, YEATS4, PML, KAT6A, HDAC2, RUNX1, TBL1XR1, BCL6"
NEST:90	Mediator complex	Transcriptional Regulation and Signal Transduction in Cell Differentiation and Proliferation	"RARA, FBXW7, ESR1, MED1, MED12, CDK8"
NEST:91	G1/S phase	Cell Cycle Regulation and Tumor Suppression	"BRCA1, CKS1B, HLA-A, CDKN2A, MYC, CTNNB1, CDKN1A, HDAC1, CCND1, EP300, CDKN1B, TP53, RBL1, RB1, CREBBP, CCNE1, BUB1B, TOP2A, E2F1"
NEST:93	Nuclear pore	Nuclear Pore Complex Assembly and Function	"TERT, NUP98, RANBP2, XPO1, NUP93"
NEST:94	p53 regulation	Chromatin remodeling and DNA damage response	"TP53, HDAC1, HDAC2, BRCA1, HIST3H3, SMARCA4, TAF1, AURKB, MTA1, CHD4, H3F3A"
NEST:58	Cyclin D associated events in G1	Cell Cycle Regulation and Control	"E2F4, CKS1B, CDKN2A, E2F3, E2F2, CDKN1A, E2F5, CDK5, CDKN1C, TP53, RBL1, RB1, E2F1, CCND2, RBL2, HLA-A, CDKN2B, MDM2, CCND1, CDKN1B, TFDP1, CCND3, CDKN2C, CCNE2, CCNE1, CDK4, CDK6"
NEST	Cell	System of unrelated proteins	"UBE2T, AKT3, ROS1, MDC1, CSF1R, HDAC3, CBFB, ETS1, RPS6KB1, KMT2C, SUZ12, FCGR2A, TIGIT, ERBB4, NOTCH3, PRF1, MTA1, INPP4B, ATR, NQO1, BCORL1, SMARCE1, BLM, NCOR2, MAP3K7, SDHD, PPP2R2A, RPS6KB2, PIK3C3, PARK2, PAX5, XPA, PDCD1, HSP90AA1, JAK1, WRN, ERCC4, HLA-DMB, SMARCA4, HDAC2, TCL1A, HLA-DOA, FLT4, FAM46C, HLA-G, ZNF703, CDKN2A, FANCB, DPYD, STK11, TAF1, SGK1, ARAF, HLA-DRB5, ERG, GNAQ, VSIR, STAT3, GATA2, PIK3CA, C8orf34, PNRC1, BAP1, MAFB, PGR, IDH1, BCL2L12, HLA-A, HLA-DRA, TFF1, TRAF7, TP63, RARA, MLLT3, GALNT12, PDPK1, CDKN2C, GLI1, CEBPA, IRS2, TBL1XR1, SEC23B, LEF1, GREM1, IFIT3, RHPN2, ERBB3, BRCA1, NHP2, FANCE, KEL, KRAS, CBLC, KIF1B, NSD2, TSC2, PAK5, BCOR, MTHFR, BCL11B, PTPN11, GPS2, GATA4, MIB1, FBXW7, ENG, PIK3CG, TET1, TOP1, YEATS4, HIST3H3, CTCF, STAT5A, H3F3A, MLH1, MYCN, SMARCB1, PHF6, AURKB, SMARCA1, HLA-DRB1, AURKA, MLH3, FRS2, CD40, SDHA, DOT1L, ARFRP1, FGFR1, KDM6A, BCR, AKT1, P2RY8, PMS2, HLA-DQB2, E2F4, KEAP1, EPHA3, DNMT3A, INSR, ARID2, TERT, PELP1, SLIT2, TCF7L2, MET, ABCB1, ERCC2, ARID5B, FUBP1, HOXB13, PPP6C, RBM10, APOB, EPHA2, MDM2, DAXX, MYC, PTPRD, MAP2K2, SOX2, PML, EGFL7, KIT, ELF3, TOP2A, ZBTB2, ABCC3, PHOX2B, UMPS, NFE2L2, DICER1, ERRFI1, GATA3, GEN1, CKS1B, BRCA2, MKI67, BCL2L1, FOXO3, PTPN13, EP300, PTCH2, MAPK1, CDKN1C, CD22, MST1R, SOX10, HLA-DOB, H3F3C, BRIP1, RHOA, PIM1, XRCC1, PPP1CC, RNF43, IL2RA, NRG1, G6PD, BCL2L2, CTNNA1, TMPRSS2, FYN, RET, SETBP1, PRCC, CDKN2B, MYCL, FANCA, GNAS, HDAC1, IGF2, BTG1, ZFHX3, EPHA7, KLF4, BCLAF1, SMAD4, MUTYH, PRSS2, PDGFRA, FANCF, CIITA, PIK3R2, CUX1, AMER1, JAK2, RUNX1T1, CHD2, RAC1, CHEK2, ETV5, SRSF2, CD70, RAD52, AJUBA, SF1, TAP2, PA2G4, FGF3, ARID1A, CTC1, MED1, MAF, LATS2, TNFAIP3, IL10RA, MTOR, CRLF2, IRF2, SF3B1, SKP1, NOTCH1, ATP7B, SYK, PIAS4, FGF6, BIRC3, TET2, BCAR1, CCNE2, HLA-F, ESR1, CCNE1, FOXP1, HLA-C, FLG, RAD51, EGLN1, BMPR1A, ZNF217, MS4A1, POLE, KMT2B, BCL7A, MST1, RB1, PRKDC, ASNS, CDH2, GPC3, CD79A, SPINK1, ERBB2, HIST1H4E, RAD50, TNFRSF14, HRAS, ARHGAP26, RANBP2, AXIN2, C3orf70, ERCC5, NF2, FGF14, CUL3, NOTCH2, ABL2, CXCR4, IDO1, CEP57, EPCAM, SMAD2, INPPL1, CDK6, VEGFA, MC1R, E2F2, NRIP1, CYP2D6, CDK5, ARID1B, PPP2R1B, MITF, ECT2L, PIK3CB, SMC3, ASXL1, SUFU, HAS3, GSTP1, NF1, BARD1, MYH11, KDM6B, TSHR, NPM1, TUSC3, FGF7, DIS3, CDH1, RECQL4, UPF1, PPP1CB, HNF1B, CD276, HIF1A, FGFR2, TMEM173, MCL1, TFDP1, FOXQ1, NUDT15, CADM2, NCOR1, RXRA, NOTCH4, PLCG2, RINT1, ESR2, FHIT, IL6R, EGF, ETS2, QKI, E2F6, FH, SEMA3C, PLK2, SQSTM1, NTRK1, FGFR3, ETV1, TAP1, KLLN, HLA-DMA, PALB2, MTAP, SMC1A, RSF1, SOCS1, SPTA1, SOD2, JAK3, PAX7, MSH2, ERCC6, FANCM, U2AF1, DKC1, MYD88, RBL2, ANKRD11, CIC, PCBP1, AXL, CTLA4, AR, RIT1, KMT2D, B2M, CCND1, ALK, IL15, WISP3, GPER1, ATIC, ACVR1B, MGA, FGF23, BTK, MEN1, ING1, MSH6, MYB, MAGI2, PRKCZ, TRAF2, PHB2, FDPS, PAK3, PDK1, PRSS8, TRAF3, HLA-DPB1, CTRC, CDC25A, GRM3, PAK1, HLA-E, EXT2, PRKCI, IFIT2, GATA1, TNFRSF9, MPL, PDGFRB, CASR, NRAS, CYP3A5, SDHAF2, SETD2, TGFBR1, STAG2, PIK3R3, FOXL2, PIK3C2B, GNA11, TLR4, FGF9, SH2D1A, RPL5, GSK3B, RAD54L, RPTOR, ALOX12B, FGF2, SOX9, HLA-DQB1, STAG1, EPHB2, FANCI, BCL6, PPP2CB, IFNL3, CBL, CASP8, FGF10, HAVCR2, GLI2, LYN, GLI3, E2F5, KDM5A, FANCL, NSD1, NUP98, RPS6KA4, EBF1, ZRSR2, POLH, NT5C2, CYLD, CBLB, PPP2CA, ZNF471, MYOD1, CBR3, ASXL2, FLCN, SHQ1, DYNC2H1, PREX2, FGF8, CD79B, FOXO1, SH2B3, NKX2-1, TPRX1, NKX3-1, IRF1, MECOM, NUP93, XRCC3, FNTB, ATRX, PTK2, HLA-B, CHEK1, PBRM1, TSC1, CTNNB1, ABL1, PAX8, XPO1, MAX, XPC, POU2F2, LMO1, CFTR, DMD, TGFBR2, IKZF1, E2F1, EZH2, PRPF40B, CCND2, RICTOR, FGF4, PMS1, DNMT3B, MED12, ELOC, TBC1D12, PIK3CD, RAF1, IGF1R, POLD1, KMT2A, EWSR1, DNM2, SLX4, HIST1H2BD, HNF1A, RAD51B, IRF4, HDAC4, RAD51C, MRE11, TMEM127, EPOR, BCL2L11, HIST1H3F, LZTR1, KAT6A, SPEN, ERCC3, TP53, CARD11, SPRED1, RBL1, BRAF, NTRK3, SDHB, TBX3, FLT1, GNA13, AXIN1, HIST1H1C, BCL2, PIK3C2G, ATM, LRP1B, SRC, MDM4, MEF2B, SMAD3, ADGRA2, CDK8, PRDM1, JUN, IFNGR1, CDK12, SLC47A2, BRD4, SCG5, TPMT, DIS3L2, RAD51D, PPP1CA, RAB35, CRKL, GRIN2A, IDH2, LAG3, PARP1, SOX17, DDX3X, E2F3, IFNAR1, KLHL6, DNMT1, ERCC1, SLC26A3, ARHGAP35, KDM5C, NFKBIA, CCDC6, FOXA1, FANCD2, MALT1, TANC1, RPS15, PRKAR1A, HIST1H1E, EPHA5, FAT1, RNF139, FLT3, ZNF750, SDHC, CD19, IKZF3, IFNGR2, IFNAR2, KDR, LATS1, FANCG, HLA-DQA2, WT1, FUS, EMSY, MAP3K1, CDKN1A, GATA6, POT1, NTRK2, IL7R, YAP1, PTEN, PDCD1LG2, C11orf65, CREBBP, PTPN22, NTHL1, TCF3, NCOA3, HGF, FGFR4, HSD3B1, HDAC5, NBN, RAD21, VHL, TNFRSF17, ITPKB, HLA-DPA1, CDKN1B, ZNF620, EGFR, ETV4, HSPH1, MAD2L2, FBXO11, FANCC, MSH3, STAT6, SPOP, TPM1, CHD4, AKT2, HLA-DQA1, RASA1, INPP4A, SNCAIP, EPHB1, EED, CSF3R, CDK4, STAT5B, GID4, CYP1B1, MGMT, ZNRF3, TYMS, IFIT1, SMO, PRSS1, PPP1R15A, PTCH1, RUNX1, MTRR, PIK3R1, ACTA2, PRAME, DDR2, MAP2K1, CALR, DDB2, FGF5, FGF1, INHBA, BUB1B, LDLR, XRCC2, FAS, FGF19, TNF, IRS1, BCL10, GABRA6, WEE1, LMNA, WNT7A, REL, FCGR3A, PALLD, ETV6, CCND3, CDC73, CD274, NEGR1, STAT4, IGF1, IKBKE, PPP2R1A, MAP2K4, APC"
NEST:1	Signaling pathways	Regulation of Cell Growth and Survival Signaling Pathways	"AKT3, FH, SQSTM1, BCL2L11, HDAC3, FGFR3, RPS6KB1, BCL2L1, FOXO3, PTPN13, EP300, MAPK1, TP53, ERBB4, BRAF, SOCS1, SDHB, TBX3, SOD2, RHOA, AXIN1, BCL2, BCL2L2, SRC, MDM4, CTNNA1, SMAD3, FYN, RET, NCOR2, ANKRD11, MAP3K7, IFNGR1, PPP2R2A, RIT1, HDAC1, CCND1, PIK3C3, ALK, PARK2, IGF2, HSP90AA1, PPP1CA, RAB35, BCLAF1, KLF4, CRKL, JAK1, SMAD4, ACVR1B, PDGFRA, HDAC2, BTK, PRKCZ, PARP1, TRAF2, NFE2L2, PIK3R2, AMER1, JAK2, RUNX1T1, IFNAR1, PRSS8, RAC1, TRAF3, STK11, CHEK2, ETV5, CTRC, CDC25A, ARAF, PRKCI, CTC1, STAT3, TNFRSF9, NRAS, KDM5C, TNFAIP3, ESR2, TGFBR1, MTOR, PIK3CA, PGR, PIK3R3, PRKAR1A, HLA-A, SKP1, NOTCH1, SYK, RARA, PIAS4, GSK3B, BIRC3, ZNF750, PDPK1, TET2, BCAR1, RPTOR, CEBPA, ALOX12B, FGF2, IRS2, IFNAR2, TBL1XR1, SEC23B, EPHB2, ERBB3, FLG, BCL6, BRCA1, EGLN1, CBL, CASP8, KRAS, BMPR1A, MAP3K1, TSC2, MS4A1, YAP1, PTEN, PTPN11, GPS2, EBF1, RB1, PRKDC, CREBBP, MIB1, TCF3, FBXW7, CDH2, CBLB, NCOA3, ERBB2, ZNF471, FGFR4, HDAC5, STAT5A, HRAS, VHL, AURKB, ITPKB, PREX2, CDKN1B, EGFR, ETV4, AXIN2, FOXO1, NF2, FBXO11, FRS2, NOTCH2, CUL3, SDHA, STAT6, AKT2, CD40, RASA1, EPCAM, ARFRP1, CSF3R, FGFR1, SMAD2, INPPL1, BCR, STAT5B, AKT1, PTK2, KEAP1, TSC1, CTNNB1, ABL1, INSR, NRIP1, PRSS1, PIK3R1, PIK3CB, PRAME, MAP2K1, TCF7L2, CALR, DDB2, FGF5, FGF1, MET, CFTR, BARD1, TGFBR2, LDLR, TUSC3, FGF7, CDH1, RICTOR, FAS, MDM2, TNF, DAXX, TBC1D12, MYC, SOX2, IRS1, ELOC, PIK3CD, MAP2K2, FGFR2, IGF1R, RAF1, MCL1, NCOR1, RXRA, PLCG2, IGF1, RINT1, HDAC4, EGF, MAP2K4, APC"
NEST:102	CDK holoenzyme complex II	Cell Cycle Regulation and Control	"CCND2, CKS1B, HLA-A, CDKN2A, CDKN2B, CDKN1A, CCND1, CDK5, CDKN1B, CDKN1C, TP53, CCND3, CDKN2C, CCNE2, CCNE1, CDK4, CDK6"
NEST:105	Ubiquitin regulation of p53 activity	Protein Quality Control and Degradation Pathway	"HSP90AA1, VHL, TNF, MDM2, CUL3, STK11, ELOC, FBXW7, SKP1"
NEST:107	HDACs deacetylate histones	Chromatin remodeling and transcriptional regulation	"BCL6, HDAC5, NCOR2, ANKRD11, AR, HDAC3, RUNX1T1, HDAC1, PML, GPS2, NCOR1, CREBBP, NCOA3, TBL1XR1, HDAC2, HDAC4"
NEST:108	EMT	Regulation of Cell Adhesion and Signal Transduction in Cancer Progression	"CDH1, CTNNA1, FYN, CBL, TCF7L2, CTNNB1, CDH2, SOX2, HDAC1, HDAC2, ERBB2, APC, EGF, EGFR"
NEST:11	Metabolic pathways	Metabolic Regulation and Xenobiotic Detoxification	"GPC3, IDH1, CYP1B1, CYP2D6, CYP3A5, MST1, TPMT, APOB, CD276, HNF1A, HNF1B, ATP7B"
NEST:110	CDK holoenzyme complex I	Cell Cycle Regulation and Control	"CCND2, TP53, CCND3, CKS1B, CDKN2C, CDKN2B, RB1, CDKN2A, CCNE1, CCNE2, CDKN1A, CCND1, CDK4, CDK6, CDKN1B"
NEST:117	Regulation of TP53 Activity	DNA Damage Response and Repair	"EP300, TP53, MDM2, PARP1, HDAC1, IKZF1, PML, BRCA1, SMARCA4, JUN, CHEK1"
NEST:12	Protein Transport	Intracellular Signaling and Vesicular Trafficking Regulation	"TUSC3, KRAS, RAB35, CALR, CFTR, TNF, NRAS, RAC1, TRAF3, ARFRP1, RINT1, PIK3C3, SEC23B, PREX2, EGFR"
NEST:121	Extended cohesin complex	Chromosome Structure and Cohesion	"STAG2, SMARCA4, SMC3, SMC1A, STAG1, RAD21"
NEST:125	Extended mismatch repair complex	DNA Mismatch Repair and Excision Repair Pathway Integration	"MSH3, MLH3, SLX4, MSH6, MLH1, PMS2, MSH2, ERCC1, ERCC4, PMS1"
NEST:126	Regulation of beta catenin transcriptional activity	Chromatin remodeling and transcriptional regulation in response to DNA damage	"EP300, CREBBP, CTNNB1, TP53, CHEK2, TCF3, HDAC3, KAT6A, HDAC2, KMT2A"
