	cellline	drug	response	source
24	SKCO1_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5829810391623235	GDSC2
25	LS411N_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9289765167266903	GDSC2
26	LS123_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9239421677669296	GDSC2
27	LS1034_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9589875384825548	GDSC2
28	HCC2998_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9336196449292984	GDSC2
29	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.853596034258385	GDSC2
30	CP66MEL_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8918994610121629	GDSC2
31	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8528977437944024	GDSC2
32	VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6901873184653813	GDSC2
33	RF48_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6726800349008841	GDSC2
34	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6628300166456533	GDSC2
35	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6675794931010187	GDSC2
36	LU139_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8716694296466209	GDSC2
37	MDST8_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7713358014925918	GDSC2
38	HT55_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9626944083698178	GDSC2
39	CA922_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.808740519126047	GDSC2
40	DOK_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8569856824281271	GDSC2
41	KM12_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8564670880326671	GDSC2
42	CAR1_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8609680647018619	GDSC2
43	HT115_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9019588700610088	GDSC2
44	GP5D_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7238049487420597	GDSC2
45	CW2_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8536942176817921	GDSC2
46	HUTU80_SMALL_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7537769637993725	GDSC2
47	HCT116_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8144313491462446	GDSC2
48	SNUC5_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8526043071949418	GDSC2
49	SW48_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7745135036431172	GDSC2
50	C2BBE1_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9740375791335372	GDSC2
51	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7026913264488971	GDSC2
52	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8650312064097715	GDSC2
53	BICR10_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8763178714286337	GDSC2
54	CS1_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8283532757736002	GDSC2
55	SKN_ENDOMETRIUM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8905781488327442	GDSC2
56	PEO1_OVARY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8462515587506904	GDSC2
57	TE12_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.0716526203992434	GDSC2
58	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.0635689180053731	GDSC2
59	HSC3_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7485328758415735	GDSC2
60	PCI4B_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8233152407451796	GDSC2
61	LS513_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7855253157343116	GDSC2
62	SNU407_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9118015734211068	GDSC2
63	SNU1040_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9590092150651276	GDSC2
64	OACP4C_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9423097772956038	GDSC2
65	SKGT4_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.948703314445397	GDSC2
66	NCIH841_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9197849402393644	GDSC2
67	SNU175_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7557790304711067	GDSC2
68	COLO678_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.986478606621809	GDSC2
69	T84_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8515768479204086	GDSC2
70	NCIH2135_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8786776528116823	GDSC2
71	ABC1_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8722686882601666	GDSC2
72	SKMEL5_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8694787595873347	GDSC2
73	CL34_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8346193583434113	GDSC2
74	A427_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8817574004301675	GDSC2
75	RCM1_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9107541658898524	GDSC2
76	LOVO_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8316696813350573	GDSC2
77	LS180_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.778416033115641	GDSC2
78	NCIH1876_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.4643166148946133	GDSC2
79	OVK18_OVARY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7172844429038887	GDSC2
80	MRKNU1_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8693937561006557	GDSC2
81	NCC010_KIDNEY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9637148571288782	GDSC2
82	RKN_SOFT_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9232786244183324	GDSC2
83	SW1417_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9384161770345142	GDSC2
84	TE15_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7414348331784534	GDSC2
85	5637_URINARY_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8684828807862178	GDSC2
86	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6082878872242159	GDSC2
87	OSC20_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8115061270772702	GDSC2
88	8505C_THYROID	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7938648191986146	GDSC2
89	786O_KIDNEY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7757974594977696	GDSC2
90	647V_URINARY_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6956088687990726	GDSC2
91	42MGBA_CENTRAL_NERVOUS_SYSTEM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8304230625408429	GDSC2
92	SW837_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9202613557643354	GDSC2
93	A101D_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8195844042416139	GDSC2
94	VMRCRCZ_KIDNEY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9467315935058276	GDSC2
95	639V_URINARY_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5774286221743314	GDSC2
96	BCPAP_THYROID	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.82316176401863	GDSC2
97	A172_CENTRAL_NERVOUS_SYSTEM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8047116321020386	GDSC2
98	8MGBA_CENTRAL_NERVOUS_SYSTEM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6316525710715606	GDSC2
99	BHT101_THYROID	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7649204398308155	GDSC2
100	HEMCSS_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8502520680704033	GDSC2
101	A2058_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7297797965706221	GDSC2
102	SW1116_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9385442331030388	GDSC2
103	BPH1_PROSTATE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7258048552743703	GDSC2
104	JIYOYEP2003_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7861289991009602	GDSC2
105	SUIT2_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8018624411152466	GDSC2
106	UACC257_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9519566430533344	GDSC2
107	2313287_STOMACH	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7712024882112426	GDSC2
108	WM793_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.825284114526718	GDSC2
109	BFTC909_KIDNEY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8810885381770858	GDSC2
110	SW948_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8014568459732999	GDSC2
111	PANC0203_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.813007899956371	GDSC2
112	AGS_STOMACH	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7970017194185609	GDSC2
113	QGP1_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9255154223643268	GDSC2
114	NCIH345_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8834680476479324	GDSC2
115	RERFLCKJ_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9500368832973386	GDSC2
116	CHP134_AUTONOMIC_GANGLIA	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7544320338895945	GDSC2
117	SU8686_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.0150844108280597	GDSC2
118	C4I_CERVIX	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9010255248538022	GDSC2
119	BT474_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.0116524544361565	GDSC2
120	CAL120_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.862358602781415	GDSC2
121	HCC1806_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8216068144585508	GDSC2
122	EW18_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8572864941406868	GDSC2
123	BE2M17_AUTONOMIC_GANGLIA	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8455318042837467	GDSC2
124	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5314871575079081	GDSC2
125	GOTO_AUTONOMIC_GANGLIA	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7549514263363879	GDSC2
126	G402_SOFT_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8009954285064572	GDSC2
127	C3A_LIVER	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8480866592624736	GDSC2
128	CADOES1_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5693276724664883	GDSC2
129	FADU_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7507699526234435	GDSC2
130	BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5698583924120867	GDSC2
131	NCIH2227_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8162184361074822	GDSC2
132	BT549_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9173912000040438	GDSC2
133	SIHA_CERVIX	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9593405746761036	GDSC2
134	SNU81_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.980317971960038	GDSC2
135	BB49HNC_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.834918646359984	GDSC2
136	ZR7530_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9975833175718998	GDSC2
137	HC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6166562735761484	GDSC2
138	TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8259324614813222	GDSC2
139	EVSAT_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.971094745513586	GDSC2
140	NEC8_TESTIS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7250498599940658	GDSC2
141	SF268_CENTRAL_NERVOUS_SYSTEM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8297186979460336	GDSC2
142	PATU8902_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8812620047880052	GDSC2
143	HEY_OVARY	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8183078243634203	GDSC2
144	NCIH1781_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7222250328706834	GDSC2
145	DANG_PANCREAS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8920505947901745	GDSC2
146	HCC78_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6571898168122994	GDSC2
147	NUGC3_STOMACH	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7496437316759262	GDSC2
148	KYSE410_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9837219891472756	GDSC2
149	CAL27_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.711548952269767	GDSC2
150	ASH3_THYROID	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8822960609951223	GDSC2
151	TE4_OESOPHAGUS	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.927267702443125	GDSC2
152	NCIH661_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9667886613214604	GDSC2
153	VAESBJ_SOFT_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7753767426832059	GDSC2
154	CAL51_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7635062488046254	GDSC2
155	CAL33_UPPER_AERODIGESTIVE_TRACT	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7990238677671373	GDSC2
156	DAOY_CENTRAL_NERVOUS_SYSTEM	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.694397033203554	GDSC2
