"All_Genes","Annotation","C_rho_mean_cell","C_rho_mean_genie","cellvsgenie","cellvsgenie_ratio","Direct_Genes","Importance","name","NEST ID","P_rho_cell_bins","P_rho_genie_bins","P_rho_mean_cell","P_rho_mean_genie","RLIPP_cell","RLIPP_genie","selected","shared name","Size-Log","Size_All","Size_Direct"
"ABL1,ACVR1B,AKT1,AMER1,ANKRD11,AR,ARAF,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,AURKA,AURKB,AXIN2,BAP1,BARD1,BCL11B,BCL2L12,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BLM,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BUB1B,CASP8,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC73,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEP57,CHD2,CHD4,CHEK1,CHEK2,CIC,CKS1B,CREBBP,CRKL,CTC1,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDB2,DDX3X,DICER1,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EED,EGLN1,ELOC,EMSY,EP300,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FBXW7,FOXL2,FOXO3,FRS2,FUBP1,FUS,GATA1,GATA3,GEN1,GID4,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HRAS,HSP90AA1,HSPH1,IKZF1,ING1,INHBA,IRF2,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LATS1,LEF1,LMNA,MAD2L2,MAGI2,MAP3K7,MAX,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEN1,MGA,MGMT,MIB1,MKI67,MLH1,MLH3,MLLT3,MRE11,MSH2,MSH3,MSH6,MTA1,MTOR,MUTYH,MYB,MYC,MYCL,MYCN,NBN,NCOA3,NCOR1,NCOR2,NF1,NF2,NHP2,NKX3-1,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARK2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PIK3C3,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAB35,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RHOA,RICTOR,RINT1,RPL5,RPS15,RPS6KB1,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOCS1,SOX2,SPEN,SRSF2,STAG1,STAG2,STAT3,STK11,SUZ12,TAF1,TAP2,TBL1XR1,TCF3,TERT,TET2,TFDP1,TGFBR1,TNF,TOP1,TOP2A,TP53,TP63,TRAF7,TSC1,TSC2,TYMS,U2AF1,UBE2T,UMPS,UPF1,VHL,WEE1,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YEATS4,ZBTB2,ZNF217,ZRSR2","Nucleus and ribosome","0.821","0.7532","cells ~ clinical","0.8939073159256646","ABL1,ACVR1B,AMER1,AXIN2,BCL2L12,CEP57,CIC,CRKL,CTC1,EGLN1,FANCB,FANCF,FRS2,GEN1,GID4,HIST1H2BD,HIST1H3F,HIST1H4E,HSPH1,INHBA,KDM5C,KRAS,LEF1,LMNA,MAD2L2,MECOM,MGMT,MIB1,MTOR,MUTYH,NKX3-1,PIK3C3,PPP1CB,PPP1R15A,RAB35,RAD52,RECQL4,RICTOR,RINT1,RPS6KB1,RPTOR,SOCS1,SUZ12,TAP2,TRAF7,TSC1,TSC2,WEE1","1","Nucleus and ribosome","NEST:3","5","5","0.8502","0.76","1.0366","1.009","false","Nucleus and ribosome","2.509202522331103","323","48"
"ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750","Keratinization","0.2932","0.2446","cells ~ clinical","0.7503052503052503","ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750","1","Keratinization","NEST:24","1","0","0.3276","0.2458","1.3244","1.0878","false","Keratinization","0.9030899869919435","8","8"
"ABCC3,ABL1,ABL2,ACTA2,ADGRA2,AKT1,APOB,ARHGAP26,ARID5B,ATP7B,AXL,B2M,BCAR1,BCL2L12,BIRC3,BTK,C8orf34,CARD11,CASR,CBL,CBLB,CBR3,CCND1,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDH1,CHEK2,CIITA,CRKL,CSF1R,CSF3R,CTLA4,CUL3,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DMD,DNM2,DPYD,EBF1,EGF,EGFL7,EGFR,ENG,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB4,ERG,ERRFI1,ESR1,ETS1,EXT2,FAM46C,FANCC,FAS,FBXO11,FCGR2A,FCGR3A,FGF10,FGF19,FGF23,FGFR3,FLT1,FLT3,FLT4,FOXA1,FOXP1,FRS2,FYN,GALNT12,GATA1,GATA3,GNA11,GNA13,GNAQ,GNAS,GPC3,GREM1,GRIN2A,HAVCR2,HGF,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HRAS,HSP90AA1,IDH1,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF1,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,INHBA,IRF1,IRF2,IRF4,IRS1,IRS2,JAK1,JAK2,JAK3,KDR,KIF1B,KIT,KLHL6,LAG3,LATS1,LMNA,LYN,MAFB,MAP2K1,MAPK1,MC1R,MPL,MS4A1,MST1,MYD88,MYH11,MYOD1,NEGR1,NF2,NFE2L2,NFKBIA,NKX2-1,NOTCH4,NTRK3,P2RY8,PAK1,PAK3,PAK5,PALLD,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PHOX2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PLCG2,PLK2,PML,POU2F2,PPP1CB,PRDM1,PREX2,PRF1,PTK2,PTPN11,PTPN22,PTPRD,QKI,RAC1,RASA1,RET,RHOA,RHPN2,SETBP1,SH2B3,SH2D1A,SLIT2,SMAD3,SOCS1,SOD2,SOX17,SPRED1,SPTA1,SRC,STAT3,STAT4,STAT5A,STAT5B,STAT6,SYK,TAP1,TAP2,TIGIT,TLR4,TMEM127,TMEM173,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TPM1,TPMT,VEGFA,VSIR","Cytoplasm and extracellular space","0.7518","0.6062","cells ~ clinical","0.7722325457924077","AKT1,BCAR1,CCND1,CRKL,ERBB2,ERBB4,FGFR3,FRS2,GRIN2A,HRAS,IFNAR1,IFNGR1,KIF1B,MAP2K1,MC1R,MPL,PIK3R2,PIK3R3,PTK2,RASA1,SMAD3,SRC","1","Cytoplasm and extracellular space","NEST:2","5","3","0.7534","0.5818","1.0024","0.9642","false","Cytoplasm and extracellular space","2.376576957056512","238","22"
"AKT1,MTOR,RICTOR,RPS6KB1,RPTOR","AKT/MTOR pathway I","0.3564","0.2284","cell","0.6439645625692137","AKT1,MTOR,RICTOR,RPS6KB1,RPTOR","0","AKT/MTOR pathway I","NEST:145","1","0","0.3612","0.2326","1.028","1.1462","false","AKT/MTOR pathway I","0.6989700043360189","5","5"
"ABCB1,ABCC3,ABL1,ABL2,ACTA2,ACVR1B,ADGRA2,AJUBA,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,APOB,AR,ARAF,ARFRP1,ARHGAP26,ARHGAP35,ARID1A,ARID1B,ARID2,ARID5B,ASNS,ASXL1,ASXL2,ATIC,ATM,ATP7B,ATR,ATRX,AURKA,AURKB,AXIN1,AXIN2,AXL,B2M,BAP1,BARD1,BCAR1,BCL10,BCL11B,BCL2,BCL2L1,BCL2L11,BCL2L12,BCL2L2,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BCR,BIRC3,BLM,BMPR1A,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BTK,BUB1B,C11orf65,C3orf70,C8orf34,CADM2,CALR,CARD11,CASP8,CASR,CBFB,CBL,CBLB,CBLC,CBR3,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDC25A,CDC73,CDH1,CDH2,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEBPA,CEP57,CFTR,CHD2,CHD4,CHEK1,CHEK2,CIC,CIITA,CKS1B,CREBBP,CRKL,CRLF2,CSF1R,CSF3R,CTC1,CTCF,CTLA4,CTNNA1,CTNNB1,CTRC,CUL3,CUX1,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DAXX,DDB2,DDR2,DDX3X,DICER1,DIS3,DIS3L2,DKC1,DMD,DNM2,DNMT1,DNMT3A,DNMT3B,DOT1L,DPYD,DYNC2H1,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EBF1,ECT2L,EED,EGF,EGFL7,EGFR,EGLN1,ELF3,ELOC,EMSY,ENG,EP300,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB3,ERBB4,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERG,ERRFI1,ESR1,ESR2,ETS1,ETS2,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT2,EZH2,FAM46C,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FAS,FAT1,FBXO11,FBXW7,FCGR2A,FCGR3A,FDPS,FGF1,FGF10,FGF14,FGF19,FGF2,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FH,FHIT,FLCN,FLG,FLT1,FLT3,FLT4,FNTB,FOXA1,FOXL2,FOXO1,FOXO3,FOXP1,FOXQ1,FRS2,FUBP1,FUS,FYN,G6PD,GABRA6,GALNT12,GATA1,GATA2,GATA3,GATA4,GATA6,GEN1,GID4,GLI1,GLI2,GLI3,GNA11,GNA13,GNAQ,GNAS,GPC3,GPER1,GPS2,GREM1,GRIN2A,GRM3,GSK3B,GSTP1,H3F3A,H3F3C,HAS3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HGF,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HOXB13,HRAS,HSD3B1,HSP90AA1,HSPH1,IDH1,IDH2,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IFNL3,IGF1,IGF1R,IGF2,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,ING1,INHBA,INPP4A,INPP4B,INPPL1,INSR,IRF1,IRF2,IRF4,IRS1,IRS2,ITPKB,JAK1,JAK2,JAK3,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KDM6B,KDR,KEAP1,KEL,KIF1B,KIT,KLF4,KLHL6,KLLN,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LAG3,LATS1,LATS2,LDLR,LEF1,LMNA,LMO1,LRP1B,LYN,LZTR1,MAD2L2,MAF,MAFB,MAGI2,MALT1,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MAX,MC1R,MCL1,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEF2B,MEN1,MET,MGA,MGMT,MIB1,MITF,MKI67,MLH1,MLH3,MLLT3,MPL,MRE11,MS4A1,MSH2,MSH3,MSH6,MST1,MST1R,MTA1,MTAP,MTHFR,MTOR,MTRR,MUTYH,MYB,MYC,MYCL,MYCN,MYD88,MYH11,MYOD1,NBN,NCOA3,NCOR1,NCOR2,NEGR1,NF1,NF2,NFE2L2,NFKBIA,NHP2,NKX2-1,NKX3-1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NPM1,NQO1,NRAS,NRG1,NRIP1,NSD1,NSD2,NT5C2,NTHL1,NTRK1,NTRK2,NTRK3,NUDT15,NUP93,NUP98,P2RY8,PA2G4,PAK1,PAK3,PAK5,PALB2,PALLD,PARK2,PARP1,PAX5,PAX7,PAX8,PBRM1,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PDK1,PDPK1,PELP1,PGR,PHB2,PHF6,PHOX2B,PIAS4,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIM1,PLCG2,PLK2,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,POU2F2,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRAME,PRCC,PRDM1,PREX2,PRF1,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRPF40B,PRSS1,PRSS2,PRSS8,PTCH1,PTCH2,PTEN,PTK2,PTPN11,PTPN13,PTPN22,PTPRD,QKI,RAB35,RAC1,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RASA1,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RET,RHOA,RHPN2,RICTOR,RINT1,RIT1,RNF139,RNF43,ROS1,RPL5,RPS15,RPS6KA4,RPS6KB1,RPS6KB2,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SCG5,SDHA,SDHAF2,SDHB,SDHC,SDHD,SEC23B,SEMA3C,SETBP1,SETD2,SF1,SF3B1,SGK1,SH2B3,SH2D1A,SHQ1,SKP1,SLC26A3,SLC47A2,SLIT2,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SMO,SNCAIP,SOCS1,SOD2,SOX10,SOX17,SOX2,SOX9,SPEN,SPINK1,SPOP,SPRED1,SPTA1,SQSTM1,SRC,SRSF2,STAG1,STAG2,STAT3,STAT4,STAT5A,STAT5B,STAT6,STK11,SUFU,SUZ12,SYK,TAF1,TANC1,TAP1,TAP2,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TCL1A,TERT,TET1,TET2,TFDP1,TFF1,TGFBR1,TGFBR2,TIGIT,TLR4,TMEM127,TMEM173,TMPRSS2,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TOP1,TOP2A,TP53,TP63,TPM1,TPMT,TPRX1,TRAF2,TRAF3,TRAF7,TSC1,TSC2,TSHR,TUSC3,TYMS,U2AF1,UBE2T,UMPS,UPF1,VEGFA,VHL,VSIR,WEE1,WISP3,WNT7A,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YAP1,YEATS4,ZBTB2,ZFHX3,ZNF217,ZNF471,ZNF620,ZNF703,ZNF750,ZNRF3,ZRSR2","NeST","0.9226","0.9276","cells ~ clinical","1.0","ABCB1,AJUBA,ARHGAP35,BCL10,C11orf65,C3orf70,CADM2,CBFB,CBLC,CRLF2,DDR2,DIS3L2,DYNC2H1,ECT2L,ELF3,ETS2,ETV1,ETV6,FAT1,FDPS,FGF14,FGF3,FGF4,FGF6,FGF8,FGF9,FHIT,FLCN,FNTB,FOXQ1,G6PD,GABRA6,GATA2,GATA4,GATA6,GLI1,GLI2,GLI3,GPER1,GRM3,HAS3,HOXB13,HSD3B1,IDH2,IFNL3,INPP4A,INPP4B,KDM6B,KEL,KLLN,LATS2,LMO1,LRP1B,LZTR1,MAF,MALT1,MEF2B,MITF,MST1R,MTAP,MTHFR,MTRR,NOTCH3,NQO1,NRG1,NT5C2,NTHL1,NTRK1,NTRK2,NUDT15,PAX5,PAX7,PAX8,PDK1,PIK3C2B,PIK3C2G,PIM1,PRSS2,PTCH1,PTCH2,RNF139,RNF43,ROS1,RPS6KA4,RPS6KB2,SCG5,SDHAF2,SDHC,SDHD,SEMA3C,SGK1,SLC26A3,SLC47A2,SMO,SNCAIP,SOX10,SOX9,SPINK1,SPOP,SUFU,TANC1,TCL1A,TET1,TFF1,TMPRSS2,TPRX1,TSHR,WISP3,WNT7A,ZFHX3,ZNF620,ZNF703,ZNRF3","0","NeST","NEST","5","5","1.0","1.0","1.084","1.0788","false","NeST","2.8561244442423","718","113"
"EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN","EGFR-insulin receptor cross-talk","0.248","0.234","cells ~ clinical","0.67838910947249","EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN","0","EGFR-insulin receptor cross-talk","NEST:254","1","0","0.3526","0.2392","-9.5036","1.038","false","EGFR-insulin receptor cross-talk","0.7781512503836436","6","6"
"ABL1,AKT1,ARAF,BCAR1,BCR,BRAF,BTK,CBL,CBLB,CDKN1B,CRKL,CSF3R,EGF,EGFR,EPHB2,ERBB2,ERBB3,ERBB4,FGFR1,FRS2,FYN,GSK3B,HLA-A,HRAS,IFNAR1,IFNAR2,IFNGR1,INPPL1,IRS1,JAK1,JAK2,KRAS,MAP2K1,MAP2K2,MAPK1,NRAS,PDGFRA,PIK3R1,PLCG2,PTK2,PTPN11,RAF1,RASA1,RET,SRC,STAT3,STAT5A,STAT5B,STAT6,SYK,TNF,TP53,TSC2","Transmembrane RTK signaling","0.6028","0.5284","cells ~ clinical","0.866060606060606","ABL1,AKT1,BCAR1,BTK,CDKN1B,CRKL,EPHB2,FYN,GSK3B,HLA-A,IFNAR1,IFNAR2,IFNGR1,MAP2K2,NRAS,PTK2,RASA1,SRC,STAT5B,STAT6,SYK,TNF,TP53,TSC2","0","Transmembrane receptor tyrosine kinase signaling","NEST:38","4","3","0.66","0.5716","1.097","1.1076","false","Transmembrane receptor tyrosine kinase signaling","1.724275869600789","53","24"
"C8orf34,CBL,FBXO11,GALNT12,MYOD1,TPM1","Structural constituent of muscle","0.2116","0.1502","unimportant","0.6954921803127875","FBXO11","0","Structural constituent of muscle","NEST:22","0","0","0.2174","0.1512","1.02","1.0002","false","Structural constituent of muscle","0.7781512503836436","6","1"
"AXL,B2M,BIRC3,BTK,CARD11,CD19,CD22,CD274,CD40,CD70,CD79A,CD79B,CIITA,CSF1R,CSF3R,CTLA4,CXCR4,CYLD,FAM46C,FAS,FCGR2A,FCGR3A,FLT3,FOXP1,FYN,GATA3,HAVCR2,HGF,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFNGR2,IGF1,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,IRF1,IRF4,JAK2,JAK3,KIT,KLHL6,LAG3,LYN,MAFB,MS4A1,MYD88,NFKBIA,NKX2-1,NTRK3,P2RY8,PCBP1,PDCD1,PDCD1LG2,PHOX2B,PIK3CD,PIK3CG,PLCG2,POU2F2,PRDM1,PRF1,PTPN22,SH2D1A,SOD2,STAT4,STAT5A,SYK,TAP1,TAP2,TIGIT,TLR4,TMEM173,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,VSIR","Immune system","0.6118","0.28","cell","0.455106448626967","AXL,CSF3R,CYLD,FAM46C,FAS,FOXP1,HGF,IFNGR2,IGF1,IKBKE,IL10RA,IL2RA,IL6R,JAK2,MAFB,MYD88,NFKBIA,NKX2-1,NTRK3,PCBP1,PIK3CG,PLCG2,POU2F2,PRDM1,SOD2,STAT5A,TLR4,TMEM173,TNFAIP3,VSIR","0","Immune system","NEST:8","4","0","0.6482","0.295","1.0656","1.0812","false","Immune system","1.99563519459755","99","30"
"ABCC3,APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,FGF19,FGF23,GATA1,GPC3,HGF,HNF1A,HNF1B,IDH1,MST1,SPTA1,TPMT","Metabolism","0.3872","0.2568","cell","0.6051732552464617","ABCC3,FGF19,FGF23,GATA1,HGF,SPTA1","0","Metabolism","NEST:7","2","0","0.4098","0.248","1.0978","1.0728","false","Metabolism","1.255272505103306","18","6"
"ABL1,ABL2,ACTA2,ADGRA2,ARHGAP26,ARID5B,BCL2L12,CASR,CBL,CBLB,CBR3,CD276,CDH1,CHEK2,CSF1R,CUL3,DMD,DNM2,DPYD,EBF1,EGF,EGFR,ENG,EPCAM,ERG,ERRFI1,ESR1,EXT2,FANCC,FCGR2A,FGF10,FGF19,FGF23,FLT1,FLT4,FOXA1,FOXP1,GNA11,GNA13,GNAQ,GNAS,GPC3,GREM1,HSP90AA1,IL2RA,INHBA,KDR,LATS1,LMNA,MAPK1,MYH11,NEGR1,NF2,NFE2L2,NOTCH4,PAK1,PAK3,PAK5,PALLD,PDGFRA,PDGFRB,PIK3CA,PIK3R1,PLK2,PPP1CB,PREX2,QKI,RAC1,RET,RHOA,RHPN2,SETBP1,SH2B3,SLIT2,SOX17,SPRED1,TNF,TPM1,VEGFA,VSIR","Cell motility","0.659","0.4142","cell","0.597442143727162","ABL1,ABL2,BCL2L12,CBLB,CSF1R,CUL3,ERRFI1,EXT2,FGF23,FOXP1,GPC3,IL2RA,NF2,PAK5,PDGFRA,PLK2,QKI","0","Cell motility","NEST:5","4","1","0.6568","0.3924","0.9954","0.962","false","Cell motility","1.9030899869919435","80","17"
"EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,PTPRD,SLIT2","Ephrin receptor activity","0.2218","0.2346","cell","0.618986529826812","EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,PTPRD,SLIT2","0","Ephrin receptor activity","NEST:97","1","0","0.3118","0.193","3.5662","0.8586","false","Ephrin receptor activity","0.9030899869919435","8","8"
"CSF3R,EPOR,IFNAR2,IL6R,IRS1,IRS2,JAK1,JAK2,JAK3,PIK3R1,PTPN11,SOCS1,STAT3,STAT5A,STAT5B,STAT6","JAK-STAT signaling","0.259","0.0606","cell","0.29290387518872674","CSF3R,EPOR,IFNAR2,IL6R,IRS1,IRS2,JAK1,JAK2,JAK3,PIK3R1,PTPN11,SOCS1,STAT3,STAT5A,STAT5B,STAT6","0","JAK-STAT signaling pathway","NEST:84","1","0","0.3974","0.1164","2.0654","0.1456","false","JAK-STAT signaling pathway","1.2041199826559248","16","16"
"IFIT1,IFIT2,IFIT3,IRF2,PML,TAP1,TAP2,TNF","Interferon signaling","0.2488",,,,"IRF2","1","Interferon signaling","NEST:36","0","0","0.2382",,"0.9718",,"false","Interferon signaling","0.9030899869919435","8","1"
"ADGRA2,EGFL7,ENG,ERG,ETS1,FLT1,FLT4,KDR,NOTCH4,SH2B3,SOX17,TMEM127,VEGFA,VSIR","NEST:29","0.4432","0.2162","cell","0.43640350877192985","ADGRA2,EGFL7,ENG,ETS1,SOX17,TMEM127","0","NEST:29","NEST:29","2","0","0.456","0.199","1.0376","0.9576","false","NEST:29","1.146128035678238","14","6"
"AKT1,ARAF,BRAF,CCDC6,MYC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,RAF1","Integrator-PP2A complex","0.2724","0.2938","cells ~ clinical","0.6979768786127167","AKT1,ARAF,BRAF,CCDC6,MYC,PPP6C,RAF1","1","Integrator-PP2A complex","NEST:53","2","0","0.4152","0.2898","3.1444","1.0034","false","Integrator-PP2A complex","1.0791812460476249","12","7"
"BTG1,CDK8,DICER1,ESR1,FBXW7,MED1,MED12,PNRC1,RARA","Mediator/CCR-NOT complex","0.304","0.1994","cell","0.6172757475083056","BTG1,DICER1,PNRC1","0","Mediator/CCR-NOT complex","NEST:45","1","0","0.301","0.1858","0.9984","0.927","false","Mediator/CCR-NOT complex","0.9542425094393249","9","3"
"AR,ARID1A,ATM,ATR,AURKA,AURKB,BARD1,BCL11B,BLM,BRCA1,BRCA2,BRD4,BRIP1,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC73,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHD4,CHEK1,CHEK2,CKS1B,CREBBP,CTNNB1,DAXX,DNMT1,DNMT3A,DNMT3B,E2F1,E2F2,E2F4,E2F5,EED,EMSY,EP300,EZH2,FANCA,FANCC,FANCD2,FANCE,FANCG,FANCI,FANCL,FANCM,H3F3A,HDAC1,HDAC2,HDAC3,HIF1A,HIST3H3,HLA-A,IKZF1,ING1,IRF2,JUN,KDM5A,MDC1,MDM2,MDM4,MKI67,MLH1,MLH3,MRE11,MSH2,MSH3,MSH6,MTA1,MYB,MYC,NBN,NPM1,PALB2,PARP1,PML,PMS1,PMS2,POLD1,POLE,POLH,PPP1CA,PPP1CC,PRKDC,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD54L,RB1,RBL1,RBL2,REL,RUNX1,SMAD2,SMARCA4,SMARCB1,SMARCE1,SMC3,SOX2,STAT3,TAF1,TERT,TFDP1,TNF,TOP2A,TP53,TP63,TYMS,UBE2T,WRN,XPC,XRCC1,XRCC2,XRCC3,YEATS4,ZBTB2","Cell cycle","0.7526","0.6896","cells ~ clinical","0.8917525773195876","ARID1A,BRD4,CDC25A,DNMT3A,DNMT3B,EED,EMSY,FANCC,FANCE,FANCG,FANCI,FANCL,FANCM,HDAC3,HIF1A,KDM5A,PPP1CA,PPP1CC,PRKDC,RAD54L,SMARCB1,SMARCE1,SMC3,SOX2,STAT3,TNF,TYMS,UBE2T,XPC,XRCC1,YEATS4","1","Cell cycle","NEST:15","5","4","0.776","0.692","1.0308","1.0038","false","Cell cycle","2.1072099696478683","128","31"
